[{'x': 6, 'y': 4, 'type': 'f'}, {'x': 22, 'y': 4, 'type': 'w'}, {'x': 39, 'y': 7, 'type': 'f'}, {'x': 7, 'y': 16, 'type': 'f'}, {'x': 29, 'y': 15, 'type': 'w'}, {'x': 37, 'y': 14, 'type': 'f'}, {'x': 8, 'y': 22, 'type': 'w'}, {'x': 27, 'y': 22, 'type': 't'}, {'x': 37, 'y': 22, 'type': 'p'}]
[{'x': 7, 'y': 5, 'type': 'f'}, {'x': 27, 'y': 4, 'type': 't'}, {'x': 41, 'y': 7, 'type': 't'}, {'x': 10, 'y': 16, 'type': 'f'}, {'x': 27, 'y': 16, 'type': 'f'}, {'x': 36, 'y': 13, 'type': 't'}, {'x': 9, 'y': 22, 'type': 't'}, {'x': 29, 'y': 22, 'type': 'f'}, {'x': 36, 'y': 22, 'type': 'w'}]
[{'x': 6, 'y': 5, 'type': 'f'}, {'x': 25, 'y': 6, 'type': 'w'}, {'x': 36, 'y': 5, 'type': 'f'}, {'x': 7, 'y': 15, 'type': 't'}, {'x': 29, 'y': 16, 'type': 'f'}, {'x': 41, 'y': 16, 'type': 'w'}, {'x': 6, 'y': 22, 'type': 't'}, {'x': 28, 'y': 22, 'type': 'f'}, {'x': 42, 'y': 22, 'type': 't'}]
[{'x': 11, 'y': 6, 'type': 't'}, {'x': 27, 'y': 5, 'type': 't'}, {'x': 37, 'y': 6, 'type': 'w'}, {'x': 9, 'y': 14, 'type': 'p'}, {'x': 25, 'y': 14, 'type': 't'}, {'x': 39, 'y': 15, 'type': 't'}, {'x': 10, 'y': 22, 'type': 'f'}, {'x': 21, 'y': 22, 'type': 'w'}, {'x': 41, 'y': 22, 'type': 'f'}]
[{'x': 11, 'y': 4, 'type': 'w'}, {'x': 24, 'y': 6, 'type': 'p'}, {'x': 39, 'y': 7, 'type': 't'}, {'x': 8, 'y': 15, 'type': 'w'}, {'x': 28, 'y': 16, 'type': 't'}, {'x': 38, 'y': 13, 'type': 'f'}, {'x': 8, 'y': 22, 'type': 'f'}, {'x': 27, 'y': 22, 'type': 'w'}, {'x': 36, 'y': 22, 'type': 't'}]
[{'x': 7, 'y': 7, 'type': 'f'}, {'x': 28, 'y': 7, 'type': 't'}, {'x': 38, 'y': 5, 'type': 'w'}, {'x': 9, 'y': 13, 'type': 't'}, {'x': 24, 'y': 14, 'type': 't'}, {'x': 36, 'y': 13, 'type': 't'}, {'x': 9, 'y': 22, 'type': 'p'}, {'x': 24, 'y': 22, 'type': 't'}, {'x': 38, 'y': 22, 'type': 't'}]
[{'x': 10, 'y': 7, 'type': 'w'}, {'x': 24, 'y': 5, 'type': 'f'}, {'x': 40, 'y': 4, 'type': 'p'}, {'x': 6, 'y': 16, 'type': 't'}, {'x': 24, 'y': 17, 'type': 'w'}, {'x': 42, 'y': 16, 'type': 'p'}, {'x': 7, 'y': 22, 'type': 'w'}, {'x': 28, 'y': 22, 'type': 'p'}, {'x': 42, 'y': 22, 'type': 'w'}]
[{'x': 7, 'y': 5, 'type': 'f'}, {'x': 28, 'y': 5, 'type': 'f'}, {'x': 42, 'y': 4, 'type': 'w'}, {'x': 10, 'y': 13, 'type': 't'}, {'x': 29, 'y': 14, 'type': 'p'}, {'x': 37, 'y': 16, 'type': 't'}, {'x': 9, 'y': 22, 'type': 't'}, {'x': 24, 'y': 22, 'type': 'w'}, {'x': 38, 'y': 22, 'type': 'p'}]
[{'x': 10, 'y': 7, 'type': 'f'}, {'x': 27, 'y': 5, 'type': 'w'}, {'x': 37, 'y': 6, 'type': 'f'}, {'x': 10, 'y': 16, 'type': 'p'}, {'x': 22, 'y': 14, 'type': 't'}, {'x': 36, 'y': 14, 'type': 't'}, {'x': 10, 'y': 22, 'type': 't'}, {'x': 29, 'y': 22, 'type': 'f'}, {'x': 42, 'y': 22, 'type': 'p'}]
[{'x': 11, 'y': 4, 'type': 'w'}, {'x': 23, 'y': 5, 'type': 'f'}, {'x': 37, 'y': 7, 'type': 'p'}, {'x': 6, 'y': 15, 'type': 'w'}, {'x': 29, 'y': 15, 'type': 'p'}, {'x': 41, 'y': 16, 'type': 'w'}, {'x': 8, 'y': 22, 'type': 'w'}, {'x': 24, 'y': 22, 'type': 't'}, {'x': 41, 'y': 22, 'type': 'f'}]
[{'x': 11, 'y': 4, 'type': 't'}, {'x': 21, 'y': 5, 'type': 't'}, {'x': 38, 'y': 7, 'type': 't'}, {'x': 9, 'y': 16, 'type': 't'}, {'x': 27, 'y': 16, 'type': 't'}, {'x': 37, 'y': 15, 'type': 'f'}, {'x': 8, 'y': 22, 'type': 'f'}, {'x': 27, 'y': 22, 'type': 't'}, {'x': 41, 'y': 22, 'type': 'p'}]
[{'x': 6, 'y': 7, 'type': 'w'}, {'x': 24, 'y': 7, 'type': 'f'}, {'x': 38, 'y': 7, 'type': 'f'}, {'x': 7, 'y': 16, 'type': 't'}, {'x': 28, 'y': 13, 'type': 'p'}, {'x': 36, 'y': 16, 'type': 'f'}, {'x': 9, 'y': 22, 'type': 'w'}, {'x': 29, 'y': 22, 'type': 'w'}, {'x': 39, 'y': 22, 'type': 't'}]
[{'x': 7, 'y': 7, 'type': 'f'}, {'x': 24, 'y': 5, 'type': 'w'}, {'x': 41, 'y': 6, 'type': 'w'}, {'x': 9, 'y': 14, 'type': 'w'}, {'x': 27, 'y': 15, 'type': 't'}, {'x': 37, 'y': 14, 'type': 'f'}, {'x': 10, 'y': 22, 'type': 'p'}, {'x': 24, 'y': 22, 'type': 'f'}, {'x': 37, 'y': 22, 'type': 'p'}]
